md,dip,azimuth,tolerance_m,dip_tolerance_deg,azi_tolerance_deg
0,-60.0,125.0,2.0,2.0,3.0
30,-60.4,125.2,2.2,2.0,3.0
60,-60.8,125.5,2.4,2.0,3.0
90,-61.2,125.8,2.6,2.0,3.0
120,-61.6,126.0,2.8,2.0,3.0
150,-62.0,126.1,3.0,2.0,3.0
180,-62.3,126.1,3.2,2.0,3.0
210,-62.6,126.0,3.4,2.0,3.0
240,-62.8,125.8,3.6,2.0,3.0
270,-63.0,125.6,3.8,2.0,3.0
300,-63.2,125.3,4.0,2.0,3.0
330,-63.4,125.0,4.2,2.0,3.0
360,-63.6,124.7,4.4,2.0,3.0
390,-63.8,124.4,4.6,2.0,3.0
420,-64.0,124.1,4.8,2.0,3.0
450,-64.1,123.8,5.0,2.0,3.0
480,-64.2,123.5,5.2,2.0,3.0
510,-64.3,123.2,5.4,2.0,3.0
540,-64.4,122.9,5.6,2.0,3.0
570,-64.5,122.6,5.8,2.0,3.0
600,-64.6,122.3,6.0,2.0,3.0
